Sub-Saharan Africa,  969 234
AFRICA, 1 194 370
Eastern Africa,  399 458
Burundi,  10 199
Comoros,   777
Djibouti,   927
Eritrea,  4 847
Ethiopia,  99 873
Kenya,  47 236
Madagascar,  24 234
Malawi,  17 574
Mauritius,  1 259
Mayotte,   240
Mozambique,  28 011
Réunion,   863
Rwanda,  11 630
Seychelles,   94
Somalia,  13 908
South Sudan,  11 882
Uganda,  40 145
United Republic of Tanzania,  53 880
Zambia,  16 101
Zimbabwe,  15 777
Middle Africa,  153 743
Angola,  27 859
Cameroon,  22 835
Central African Republic,  4 546
Chad,  14 009
Congo,  4 996
Democratic Republic of the Congo,  76 197
Equatorial Guinea,  1 175
Gabon,  1 930
Sao Tome and Principe,   196
Northern Africa,  225 136
Algeria,  39 872
Egypt,  93 778
Libya,  6 235
Morocco,  34 803
Sudan,  38 648
Tunisia,  11 274
Western Sahara,   526
Southern Africa,  63 420
Botswana,  2 209
Lesotho,  2 175
Namibia,  2 426
South Africa,  55 291
Swaziland,  1 319
Western Africa,  352 614
Benin,  10 576
Burkina Faso,  18 111
Cabo Verde,   533
Côte d'Ivoire,  23 108
Gambia,  1 978
Ghana,  27 583
Guinea,  12 092
Guinea-Bissau,  1 771
Liberia,  4 500
Mali,  17 468
Mauritania,  4 182
Niger,  19 897
Nigeria,  181 182
Saint Helena,   4
Senegal,  14 977
Sierra Leone,  7 237
Togo,  7 417
ASIA, 4 419 898
Eastern Asia, 1 635 150
China, 1 397 029
"China, Hong Kong SAR",  7 246
"China, Macao SAR",   601
"China, Taiwan Province of China",  23 486
Dem. People's Republic of Korea,  25 244
Japan,  127 975
Mongolia,  2 977
Republic of Korea,  50 594
South-Central Asia, 1 892 013
Central Asia,  68 705
Kazakhstan,  17 750
Kyrgyzstan,  5 865
Tajikistan,  8 549
Turkmenistan,  5 565
Uzbekistan,  30 976
Southern Asia, 1 823 308
Afghanistan,  33 736
Bangladesh,  161 201
Bhutan,   787
India, 1 309 054
Iran (Islamic Republic of),  79 360
Maldives,   418
Nepal,  28 656
Pakistan,  189 381
Sri Lanka,  20 714
South-Eastern Asia,  634 610
Brunei Darussalam,   418
Cambodia,  15 518
Indonesia,  258 162
Lao People's Democratic Republic,  6 664
Malaysia,  30 723
Myanmar,  52 404
Philippines,  101 716
Singapore,  5 535
Thailand,  68 658
Timor-Leste,  1 241
Viet Nam,  93 572
Western Asia,  258 124
Armenia,  2 917
Azerbaijan,  9 617
Bahrain,  1 372
Cyprus,  1 161
Georgia,  3 952
Iraq,  36 116
Israel,  8 065
Jordan,  9 159
Kuwait,  3 936
Lebanon,  5 851
Oman,  4 200
Qatar,  2 482
Saudi Arabia,  31 557
State of Palestine,  4 663
Syrian Arab Republic,  18 735
Turkey,  78 271
United Arab Emirates,  9 154
Yemen,  26 916
EUROPE,  740 814
Eastern Europe,  293 244
Belarus,  9 486
Bulgaria,  7 177
Czechia,  10 604
Hungary,  9 784
Poland,  38 265
Republic of Moldova,  4 066
Romania,  19 877
Russian Federation,  143 888
Slovakia,  5 439
Ukraine,  44 658
Northern Europe,  103 097
Channel Islands,   164
Denmark,  5 689
Estonia,  1 315
Faeroe Islands,   49
Finland,  5 482
Iceland,   330
Ireland,  4 700
Isle of Man,   83
Latvia,  1 993
Lithuania,  2 932
Norway,  5 200
Sweden,  9 764
United Kingdom,  65 397
Southern Europe,  152 441
Albania,  2 923
Andorra,   78
Bosnia and Herzegovina,  3 536
Croatia,  4 236
Gibraltar,   34
Greece,  11 218
Holy See,   1
Italy,  59 504
Malta,   428
Montenegro,   628
Portugal,  10 418
San Marino,   33
Serbia,  8 851
Slovenia,  2 075
Spain,  46 398
TFYR Macedonia,  2 079
Western Europe,  192 032
Austria,  8 679
Belgium,  11 288
France,  64 457
Germany,  81 708
Liechtenstein,   37
Luxembourg,   567
Monaco,   38
Netherlands,  16 938
Switzerland,  8 320
LATIN AMERICA AND THE CARIBBEAN,  632 381
Caribbean,  43 310
Anguilla,   15
Antigua and Barbuda,   100
Aruba,   104
Bahamas,   387
Barbados,   284
British Virgin Islands,   30
Caribbean Netherlands,   25
Cayman Islands,   60
Cuba,  11 461
Curaçao,   158
Dominica,   73
Dominican Republic,  10 528
Grenada,   107
Guadeloupe,   450
Haiti,  10 711
Jamaica,  2 872
Martinique,   386
Montserrat,   5
Puerto Rico,  3 674
Saint Kitts and Nevis,   54
Saint Lucia,   177
Saint Vincent and the Grenadines,   109
Sint Maarten (Dutch part),   39
Trinidad and Tobago,  1 360
Turks and Caicos Islands,   34
United States Virgin Islands,   105
Central America,  172 635
Belize,   359
Costa Rica,  4 808
El Salvador,  6 312
Guatemala,  16 252
Honduras,  8 961
Mexico,  125 891
Nicaragua,  6 082
Panama,  3 969
South America,  416 436
Argentina,  43 418
Bolivia (Plurinational State of),  10 725
Brazil,  205 962
Chile,  17 763
Colombia,  48 229
Ecuador,  16 144
Falkland Islands (Malvinas),   3
French Guiana,   269
Guyana,   769
Paraguay,  6 639
Peru,  31 377
Suriname,   553
Uruguay,  3 432
Venezuela (Bolivarian Republic of),  31 155
NORTHERN AMERICA,  356 004
Bermuda,   62
Canada,  35 950
Greenland,   56
Saint Pierre and Miquelon,   6
United States of America,  319 929
OCEANIA,  39 543
Australia/New Zealand,  28 414
Australia,  23 800
New Zealand,  4 615
Melanesia,  9 933
Fiji,   892
New Caledonia,   269
Papua New Guinea,  7 920
Solomon Islands,   587
Vanuatu,   265
Micronesia,   519
Guam,   162
Kiribati,   112
Marshall Islands,   53
Micronesia (Fed. States of),   104
Nauru,   11
Northern Mariana Islands,   55
Palau,   21
Polynesia,   677
American Samoa,   56
Cook Islands,   17
French Polynesia,   278
Niue,   2
Samoa,   194
Tokelau,   1
Tonga,   106
Tuvalu,   11
Wallis and Futuna Islands,   12
